FL_DATE,ARR_FLIGHTS,ARR_DEL15,ARR_DEL_PCT,DEP_FLIGHTS,DEP_DEL15,DEP_DEL_PCT
2014-05-17,259,46.0,17.76061776061776,259,47.0,18.146718146718147
2014-05-18,277,41.0,14.8014440433213,277,43.0,15.52346570397112
2014-05-19,281,36.0,12.811387900355871,281,31.0,11.03202846975089
2014-05-20,278,19.0,6.83453237410072,278,24.0,8.633093525179856
2014-05-21,280,65.0,23.214285714285715,280,35.0,12.5
2014-05-22,283,188.0,66.43109540636043,283,113.0,39.92932862190813
2014-05-23,284,113.0,39.7887323943662,284,94.0,33.098591549295776
2014-05-24,261,36.0,13.793103448275861,261,50.0,19.157088122605366
2014-05-25,259,18.0,6.94980694980695,259,35.0,13.513513513513514
2014-05-26,279,35.0,12.544802867383513,279,40.0,14.336917562724015
2014-05-27,278,102.0,36.69064748201439,278,71.0,25.53956834532374
2014-05-28,281,57.0,20.284697508896798,281,69.0,24.555160142348754
2014-05-29,283,52.0,18.374558303886925,283,50.0,17.6678445229682
2014-05-30,283,26.0,9.187279151943462,283,41.0,14.487632508833922
2014-05-31,259,25.0,9.652509652509652,259,40.0,15.444015444015443
2014-06-01,276,16.0,5.797101449275362,276,34.0,12.318840579710145
2014-06-02,280,26.0,9.285714285714286,280,31.0,11.071428571428571
2014-06-03,275,91.0,33.09090909090909,275,63.0,22.90909090909091
2014-06-04,280,43.0,15.357142857142858,280,32.0,11.428571428571429
2014-06-05,289,60.0,20.761245674740483,289,42.0,14.53287197231834
2014-06-06,286,37.0,12.937062937062937,286,29.0,10.13986013986014
2014-06-07,257,33.0,12.84046692607004,257,29.0,11.284046692607005
2014-06-08,286,81.0,28.321678321678323,286,61.0,21.32867132867133
2014-06-09,286,126.0,44.05594405594405,286,82.0,28.67132867132867
2014-06-10,280,54.0,19.285714285714285,280,64.0,22.857142857142858
2014-06-11,288,203.0,70.48611111111111,288,109.0,37.84722222222222
2014-06-12,290,74.0,25.517241379310345,290,49.0,16.896551724137932
2014-06-13,290,157.0,54.13793103448276,290,104.0,35.86206896551724
2014-06-14,262,52.0,19.84732824427481,262,47.0,17.938931297709924
2014-06-15,289,39.0,13.494809688581315,289,52.0,17.993079584775085
2014-06-16,291,69.0,23.711340206185568,291,52.0,17.869415807560138
2014-06-17,286,30.0,10.48951048951049,286,45.0,15.734265734265735
2014-06-18,289,37.0,12.802768166089965,289,47.0,16.262975778546714
2014-06-19,296,53.0,17.905405405405407,296,55.0,18.58108108108108
2014-06-20,295,73.0,24.74576271186441,295,53.0,17.966101694915253
2014-06-21,272,35.0,12.867647058823529,272,34.0,12.5
2014-06-22,295,62.0,21.016949152542374,295,56.0,18.983050847457626
2014-06-23,295,75.0,25.423728813559322,295,47.0,15.932203389830509
2014-06-24,294,48.0,16.3265306122449,294,37.0,12.585034013605442
2014-06-25,294,121.0,41.156462585034014,294,101.0,34.35374149659864
2014-06-26,297,74.0,24.915824915824917,297,83.0,27.946127946127945
2014-06-27,296,59.0,19.93243243243243,296,65.0,21.95945945945946
2014-06-28,273,40.0,14.652014652014651,273,48.0,17.582417582417584
2014-06-29,296,56.0,18.91891891891892,296,70.0,23.64864864864865
2014-06-30,296,48.0,16.216216216216218,296,49.0,16.554054054054053
2014-07-01,295,73.0,24.74576271186441,295,67.0,22.71186440677966
2014-07-02,299,104.0,34.78260869565217,299,94.0,31.438127090301002
2014-07-03,298,130.0,43.624161073825505,298,113.0,37.919463087248324
2014-07-04,266,118.0,44.3609022556391,266,126.0,47.36842105263158
2014-07-05,276,63.0,22.82608695652174,276,78.0,28.26086956521739
2014-07-06,297,53.0,17.845117845117844,297,51.0,17.171717171717173
2014-07-07,297,53.0,17.845117845117844,297,42.0,14.141414141414142
2014-07-08,296,104.0,35.13513513513514,296,83.0,28.04054054054054
2014-07-09,296,112.0,37.83783783783784,296,91.0,30.743243243243242
2014-07-10,298,94.0,31.543624161073826,298,79.0,26.51006711409396
2014-07-11,298,24.0,8.053691275167786,298,34.0,11.409395973154362
2014-07-12,274,49.0,17.883211678832115,274,52.0,18.978102189781023
2014-07-13,297,117.0,39.39393939393939,297,106.0,35.69023569023569
2014-07-14,298,106.0,35.57046979865772,298,81.0,27.181208053691275
2014-07-15,295,120.0,40.67796610169491,295,106.0,35.932203389830505
2014-07-16,297,110.0,37.03703703703704,297,113.0,38.04713804713805
2014-07-17,298,84.0,28.187919463087248,298,76.0,25.503355704697988
2014-07-18,298,33.0,11.073825503355705,298,42.0,14.093959731543624
2014-07-19,274,33.0,12.043795620437956,274,34.0,12.408759124087592
2014-07-20,298,52.0,17.449664429530202,298,46.0,15.436241610738255
2014-07-21,298,80.0,26.845637583892618,298,73.0,24.496644295302012
2014-07-22,295,31.0,10.508474576271187,295,37.0,12.542372881355933
2014-07-23,296,97.0,32.770270270270274,296,74.0,25.0
2014-07-24,298,111.0,37.24832214765101,298,76.0,25.503355704697988
2014-07-25,297,41.0,13.804713804713804,297,49.0,16.4983164983165
2014-07-26,274,65.0,23.722627737226276,274,64.0,23.357664233576642
2014-07-27,297,173.0,58.24915824915825,297,109.0,36.7003367003367
2014-07-28,297,93.0,31.31313131313131,297,80.0,26.936026936026938
2014-07-29,296,56.0,18.91891891891892,296,43.0,14.527027027027026
2014-07-30,296,154.0,52.027027027027025,296,85.0,28.716216216216218
2014-07-31,298,43.0,14.429530201342281,298,33.0,11.073825503355705
2014-08-01,298,130.0,43.624161073825505,298,99.0,33.22147651006711
2014-08-02,274,65.0,23.722627737226276,274,51.0,18.613138686131386
2014-08-03,297,109.0,36.7003367003367,297,87.0,29.292929292929294
2014-08-04,298,82.0,27.516778523489933,298,62.0,20.80536912751678
2014-08-05,296,55.0,18.58108108108108,296,60.0,20.27027027027027
2014-08-06,297,62.0,20.875420875420875,297,49.0,16.4983164983165
2014-08-07,299,39.0,13.043478260869565,299,40.0,13.377926421404682
2014-08-08,300,42.0,14.0,300,48.0,16.0
2014-08-09,275,49.0,17.818181818181817,275,52.0,18.90909090909091
2014-08-10,297,44.0,14.814814814814815,297,66.0,22.22222222222222
2014-08-11,298,57.0,19.12751677852349,298,74.0,24.83221476510067
2014-08-12,296,95.0,32.0945945945946,296,89.0,30.06756756756757
2014-08-13,297,105.0,35.35353535353536,297,95.0,31.986531986531986
2014-08-14,299,30.0,10.033444816053512,299,34.0,11.37123745819398
2014-08-15,300,55.0,18.333333333333332,300,65.0,21.666666666666668
2014-08-16,275,62.0,22.545454545454547,275,46.0,16.727272727272727
2014-08-17,297,60.0,20.2020202020202,297,50.0,16.835016835016834
2014-08-18,297,60.0,20.2020202020202,297,33.0,11.11111111111111
2014-08-19,294,51.0,17.346938775510203,294,43.0,14.625850340136054
2014-08-20,294,77.0,26.19047619047619,294,54.0,18.367346938775512
2014-08-21,296,98.0,33.108108108108105,296,73.0,24.66216216216216
2014-08-22,297,75.0,25.252525252525253,297,77.0,25.925925925925927
2014-08-23,274,103.0,37.59124087591241,274,75.0,27.37226277372263
2014-08-24,294,22.0,7.482993197278912,294,27.0,9.183673469387756
2014-08-25,295,31.0,10.508474576271187,295,38.0,12.88135593220339
2014-08-26,293,51.0,17.406143344709896,293,42.0,14.334470989761092
2014-08-27,295,75.0,25.423728813559322,295,53.0,17.966101694915253
2014-08-28,295,63.0,21.35593220338983,295,36.0,12.203389830508474
2014-08-29,296,29.0,9.797297297297296,296,37.0,12.5
2014-08-30,264,21.0,7.954545454545454,264,18.0,6.818181818181818
2014-08-31,273,62.0,22.71062271062271,273,39.0,14.285714285714286
2014-09-01,290,64.0,22.06896551724138,290,29.0,10.0
2014-09-02,285,85.0,29.82456140350877,285,49.0,17.19298245614035
2014-09-03,266,16.0,6.015037593984962,266,14.0,5.2631578947368425
2014-09-04,274,26.0,9.489051094890511,274,25.0,9.124087591240876
