LivingArea,NumBedrooms,Pool,ListPrice,DwellingType
1437,3,None,179000,Single Family - Detached
1610,3,None,198000,Single Family - Detached
2551,3,Community,410000,Single Family - Detached
1112,3,None,61000,Single Family - Detached
1242,2,Private,144000,Single Family - Detached
2523,4,Private,399900,Single Family - Detached
1656,3,Community,198000,Single Family - Detached
1582,3,Private,339000,Single Family - Detached
1501,2,Community,289000,Townhouse
1692,2,Community,382000,Apartment Style/Flat
3183,4,None,411710,Single Family - Detached
2164,3,None,260000,Single Family - Detached
2060,3,Community,299900,Single Family - Detached
1658,3,Private,204900,Single Family - Detached
3062,5,None,239950,Single Family - Detached
4881,7,Private,550000,Single Family - Detached
1822,3,None,209900,Single Family - Detached
2409,3,None,259900,Single Family - Detached
2552,3,Private,449900,Single Family - Detached
1874,3,Private,130900,Single Family - Detached
1308,3,None,115000,Single Family - Detached
2492,3,None,250255,Single Family - Detached
1918,4,None,157900,Single Family - Detached
1988,2,Community,159000,Single Family - Detached
1682,2,Both Private & Community,309000,Single Family - Detached
1732,3,Community,139900,Single Family - Detached
1605,4,Community,147000,Single Family - Detached
1866,4,None,162500,Single Family - Detached
2348,4,None,170000,Single Family - Detached
1866,3,None,60000,Single Family - Detached
2908,4,Both Private & Community,414900,Single Family - Detached
1832,2,Both Private & Community,449000,Single Family - Detached
1805,3,Private,250000,Single Family - Detached
1830,3,None,327900,Single Family - Detached
1437,3,Community,118900,Townhouse
1232,3,None,94500,Mfg/Mobile Housing
507,2,None,35000,Single Family - Detached
1604,3,Private,204900,Single Family - Detached
4884,6,Private,850000,Single Family - Detached
1540,3,None,25000,Single Family - Detached
1440,3,None,175000,Mfg/Mobile Housing
2152,4,Community,257900,Single Family - Detached
3654,5,Both Private & Community,469000,Single Family - Detached
1690,4,Private,121000,Single Family - Detached
1215,3,None,172500,Single Family - Detached
5470,5,Private,895000,Single Family - Detached
1210,2,Community,89900,Apartment Style/Flat
1162,2,Community,117900,Single Family - Detached
1751,3,None,305000,Single Family - Detached
8778,1,Community,54900,Apartment Style/Flat
3419,4,Private,414900,Single Family - Detached
852,2,None,92000,Townhouse
3391,5,Both Private & Community,433995,Single Family - Detached
1726,3,None,149000,Single Family - Detached
1112,2,None,100000,Single Family - Detached
2879,4,None,339500,Single Family - Detached
1465,3,None,289900,Townhouse
1201,3,Community,169900,Single Family - Detached
2059,3,None,499000,Single Family - Detached
1834,3,None,125000,Single Family - Detached
1942,3,None,339900,Single Family - Detached
1293,2,Community,209000,Townhouse
1038,2,Community,139500,Apartment Style/Flat
1540,2,Community,209000,Single Family - Detached
1088,2,Community,61900,Townhouse
3090,4,Community,789000,Single Family - Detached
2410,4,Private,309900,Single Family - Detached
1572,3,None,239900,Single Family - Detached
1391,2,Community,142000,Single Family - Detached
1153,2,Community,69900,Mfg/Mobile Housing
2602,4,None,375000,Single Family - Detached
1500,4,Community,50000,Townhouse
1307,3,None,145900,Single Family - Detached
1584,3,None,199000,Single Family - Detached
1667,3,None,137900,Single Family - Detached
1757,4,None,200000,Single Family - Detached
2938,3,None,939000,Townhouse
2220,4,None,119500,Single Family - Detached
1460,3,None,124900,Single Family - Detached
3464,5,None,499995,Single Family - Detached
2071,4,None,160000,Single Family - Detached
1032,2,Community,120000,Patio Home
1400,3,None,299000,Single Family - Detached
1466,2,Community,159900,Single Family - Detached
3034,4,None,525000,Single Family - Detached
1518,3,None,269850,Single Family - Detached
1053,2,Community,169700,Apartment Style/Flat
1871,3,None,279000,Single Family - Detached
2111,2,Community,319900,Single Family - Detached
2379,3,Community,465000,Apartment Style/Flat
2600,3,Private,320000,Single Family - Detached
1624,3,Private,179900,Single Family - Detached
2788,4,Private,339000,Single Family - Detached
768,2,Community,72500,Townhouse
1827,2,Community,182000,Single Family - Detached
3216,4,None,635000,Single Family - Detached
2454,3,None,329000,Single Family - Detached
2968,4,Community,398900,Single Family - Detached
888,2,Community,49900,Apartment Style/Flat
2150,3,None,199900,Single Family - Detached
1333,2,Community,79000,Apartment Style/Flat
2834,4,None,300000,Single Family - Detached
863,2,Community,80000,Apartment Style/Flat
1396,3,Private,233500,Single Family - Detached
2338,3,None,380000,Single Family - Detached
1877,2,Community,259900,Single Family - Detached
1729,3,Community,519000,Townhouse
1080,2,None,129900,Single Family - Detached
3050,3,Private,659900,Single Family - Detached
3853,5,Private,439000,Single Family - Detached
2363,3,None,3250000,Single Family - Detached
1296,2,None,59900,Mfg/Mobile Housing
1613,3,Community,144990,Single Family - Detached
1498,3,None,124999,Mfg/Mobile Housing
1184,2,Community,132500,Apartment Style/Flat
5186,6,Private,695000,Single Family - Detached
2576,4,Private,479999,Single Family - Detached
2606,3,None,399900,Single Family - Detached
1863,4,None,169900,Single Family - Detached
950,3,Private,80000,Single Family - Detached
3195,4,None,419900,Single Family - Detached
3058,3,None,1095000,Single Family - Detached
2506,4,None,328900,Single Family - Detached
1415,3,None,149900,Single Family - Detached
2475,3,None,160000,Townhouse
616,1,Community,74000,Apartment Style/Flat
1864,4,None,175000,Single Family - Detached
1500,4,None,219900,Single Family - Detached
1824,2,Community,340000,Single Family - Detached
864,2,None,35000,Single Family - Detached
3183,5,None,459999,Single Family - Detached
1459,3,None,219900,Single Family - Detached
1119,2,Community,132500,Townhouse
3250,4,Community,399967,Single Family - Detached
744,2,Community,49000,Apartment Style/Flat
1916,4,Community,204900,Single Family - Detached
1231,2,Community,279900,Townhouse
1567,3,None,209900,Single Family - Detached
1653,3,None,125000,Single Family - Detached
1040,3,Community,135000,Townhouse
3401,4,None,215000,Single Family - Detached
1767,2,Community,199900,Single Family - Detached
2836,4,Private,599900,Single Family - Detached
1532,3,Private,197000,Single Family - Detached
2661,3,Both Private & Community,449000,Single Family - Detached
1355,2,Community,169900,Single Family - Detached
2667,3,Private,309900,Single Family - Detached
2010,4,None,184900,Single Family - Detached
1127,3,None,200000,Single Family - Detached
4546,4,Private,1675000,Single Family - Detached
4546,4,Private,1675000,Single Family - Detached
2856,3,Community,425000,Patio Home
1200,2,None,230000,Single Family - Detached
1200,3,None,180000,Single Family - Detached
1195,3,None,77900,Townhouse
3011,3,Community,678000,Single Family - Detached
1900,2,Community,299900,Single Family - Detached
1472,3,None,150000,Single Family - Detached
1480,4,None,159999,Single Family - Detached
2025,3,Community,299900,Single Family - Detached
4108,4,Private,599900,Single Family - Detached
2267,4,None,179900,Single Family - Detached
2104,4,Private,300000,Single Family - Detached
2031,4,Private,279500,Single Family - Detached
972,2,Private,110000,Single Family - Detached
1524,2,Community,149900,Single Family - Detached
640,2,None,105000,Single Family - Detached
1238,3,Private,144000,Single Family - Detached
1860,3,Community,210000,Single Family - Detached
1613,3,Private,217000,Single Family - Detached
1296,3,None,99900,Single Family - Detached
1413,2,Community,204500,Single Family - Detached
1625,3,None,148000,Single Family - Detached
1108,2,Community,78000,Patio Home
4098,5,Community,499500,Single Family - Detached
1576,4,None,169000,Single Family - Detached
2167,3,Both Private & Community,430000,Single Family - Detached
2420,4,None,259000,Single Family - Detached
3230,4,Private,499000,Single Family - Detached
1356,2,Community,139500,Single Family - Detached
1425,3,None,177900,Single Family - Detached
1243,2,None,114900,Single Family - Detached
2021,2,Community,265800,Single Family - Detached
1598,3,None,135000,Single Family - Detached
2275,3,Community,146300,Single Family - Detached
1839,4,None,139950,Single Family - Detached
2072,3,Community,275000,Single Family - Detached
1406,3,None,109000,Single Family - Detached
2245,4,None,314500,Single Family - Detached
1670,4,Private,225000,Single Family - Detached
1670,4,Private,225000,Single Family - Detached
1514,4,None,149900,Single Family - Detached
1075,3,None,54900,Single Family - Detached
1090,2,Community,174900,Single Family - Detached
2242,4,None,239900,Single Family - Detached
2313,3,None,200000,Single Family - Detached
1605,3,Community,143900,Single Family - Detached
1411,3,None,105000,Single Family - Detached
3376,5,Private,283500,Single Family - Detached
1612,2,Community,229900,Single Family - Detached
2250,3,Private,334000,Townhouse
1620,3,Private,165000,Single Family - Detached
2278,4,Private,399900,Single Family - Detached
1571,4,None,144499,Single Family - Detached
1495,3,Community,139900,Single Family - Detached
5240,4,Both Private & Community,2695000,Single Family - Detached
1274,2,Community,209500,Patio Home
